DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,AÑO
AMAZONAS,91001.0,LETICIA,91001000.0,LETICIA (LETICIA - AMAZONAS),2020.0,1.0,3930642,1251191.0,7768.76,lunes,2020-02-16 14:15:00,24.0,91.0,14:15:00,
AMAZONAS,91540.0,PUERTO NARIÑO,91540000.0,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020.0,1.0,103897,36304.0,227.04,miércoles,2020-02-16 14:15:00,24.0,91.0,14:15:00,
AMAZONAS,91798.0,TARAPACÁ (ANM),91798000.0,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020.0,1.0,22864,9277.0,88.96,jueves,2020-02-16 14:15:00,10.19,91.0,14:15:00,
ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,5873001.0,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020.0,1.0,5617,1381.0,53.66,jueves,2020-01-23 21:45:00,4.13,5.0,21:45:00,
ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,5873002.0,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020.0,1.0,2217,539.0,39.07,miércoles,2020-01-23 21:45:00,3.17,5.0,21:45:00,
ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,5873000.0,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020.0,1.0,64137,28058.0,324.19,jueves,2020-01-23 21:45:00,8.11,5.0,21:45:00,
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",88564.0,PROVIDENCIA,88564000.0,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020.0,1.0,982117,337077.0,1671.09,viernes,2020-02-28 19:00:00,24.0,88.0,19:00:00,
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",88001.0,SAN ANDRÉS,88001000.0,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020.0,1.0,16666323,4824581.0,28619.27,viernes,2020-02-28 19:00:00,24.0,88.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001007.0,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020.0,1.0,16797,8887.0,135.85,sábado,2020-01-30 19:00:00,5.26,13.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001037.0,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2020.0,1.0,10188,4396.0,31.44,sábado,2020-01-30 19:00:00,14.6,13.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001017.0,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2020.0,1.0,13187,4523.0,50.18,sábado,2020-01-30 19:00:00,12.23,13.0,19:00:00,
CAQUETA,18150.0,CARTAGENA DEL CHAIRÁ,18150001.0,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020.0,1.0,15966,7544.0,87.13,sábado,2020-01-21 19:15:00,8.06,18.0,19:15:00,
CAQUETA,18753.0,SAN VICENTE DEL CAGUÁN,18753002.0,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020.0,1.0,12554,6147.0,39.26,viernes,2020-01-21 19:15:00,18.26,18.0,19:15:00,
CASANARE,85430.0,TRINIDAD,85430001.0,BOCAS DEL PAUTO (TRINIDAD - CASANARE),2020.0,1.0,13100,7330.0,107.65,jueves,2020-02-23 19:00:00,5.56,85.0,19:00:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418011.0,DOS QUEBRADAS RÍO NAYA (LÓPEZ DE MICAY - CAUCA),2020.0,1.0,2090,537.0,45.25,sábado,2020-01-15 18:45:00,1.47,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418038.0,ISLA DE GALLO (LÓPEZ DE MICAY - CAUCA),2020.0,1.0,2545,788.0,26.94,viernes,2020-01-15 18:45:00,3.54,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418009.0,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2020.0,1.0,4271,2127.0,32.0,viernes,2020-01-15 18:45:00,5.56,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418012.0,SAN ANTONIO DE CHUARÉ (LÓPEZ DE MICAY - CAUCA),2020.0,1.0,6552,1861.0,60.74,lunes,2020-01-15 18:45:00,4.39,19.0,18:45:00,
CAUCA,19418.0,LÓPEZ DE MICAY,19418019.0,ZARAGOZA (LOPEZ DE MICAY - CAUCA),2020.0,1.0,5843,2375.0,57.31,martes,2020-01-15 18:45:00,5.02,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809014.0,CHACÓN (TIMBIQUÍ - CAUCA),2020.0,1.0,3530,625.0,30.06,miércoles,2020-01-15 18:45:00,5.03,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809010.0,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2020.0,1.0,2093,617.0,39.23,domingo,2020-01-15 18:45:00,2.05,19.0,18:45:00,
CAUCA,19809.0,TIMBIQUÍ,19809003.0,COTEJE (TIMBIQUÍ - CAUCA),2020.0,1.0,5137,3129.0,34.04,sábado,2020-01-15 18:45:00,5.46,19.0,18:45:00,
